source	target	from_class	to_class	edge_class	weight
Harry Potter	Hermione Granger	people	people	mutual understanding and trust	5
Harry Potter	Ronald Weasley	people	people	mutual understanding and trust	5
Harry Potter	Ginny Weasley	people	people	mutual understanding and trust	5
Harry Potter	Neville Longbottom	people	people	mutual understanding and trust	4
Harry Potter	Luna Lovegood	people	people	mutual understanding and trust	5
Harry Potter	Lavender Brown	people	people	mutual understanding and trust	3
Harry Potter	Cho Chang	people	people	mutual understanding and trust	3
Harry Potter	Dean Thomas	people	people	mutual understanding and trust	3
Harry Potter	Fred Weasley	people	people	mutual understanding and trust	4
Harry Potter	George Weasley	people	people	mutual understanding and trust	4
Harry Potter	Parvati Patil	people	people	mutual understanding and trust	2
Harry Potter	Padma Patil	people	people	mutual understanding and trust	2
Harry Potter	Hannah Abbot	people	people	mutual understanding and trust	2
Harry Potter	Seamus Finnigan	people	people	mutual understanding and trust	3
Harry Potter	Colin Creevey	people	people	mutual understanding and trust	3
Harry Potter	Dennis Creevey	people	people	mutual understanding and trust	2
Harry Potter	Angelina Johnson	people	people	mutual understanding and trust	2
Harry Potter	Alicia Spinnet	people	people	mutual understanding and trust	2
Harry Potter	Zacharias Smith	people	people	mutual understanding and trust	2
Harry Potter	Susan Bones	people	people	mutual understanding and trust	2
Harry Potter	Michael Corner	people	people	mutual understanding and trust	2
Harry Potter	Terry Boot	people	people	mutual understanding and trust	2
Harry Potter	Anthony Goldstein	people	people	mutual understanding and trust	2
Harry Potter	Marietta Edgecombe	people	people	mutual understanding and trust	1
Harry Potter	Katie Bell	people	people	mutual understanding and trust	2
Harry Potter	Justin Finch-Fletchley	people	people	mutual understanding and trust	2
Harry Potter	Lee Jordan	people	people	mutual understanding and trust	3
Harry Potter	Ernie McMillian	people	people	mutual understanding and trust	2
Hermione Granger	Ronald Weasley	people	people	mutual understanding and trust	5
Hermione Granger	Ginny Weasley	people	people	mutual understanding and trust	5
Hermione Granger	Neville Longbottom	people	people	mutual understanding and trust	4
Hermione Granger	Luna Lovegood	people	people	mutual understanding and trust	4
Hermione Granger	Lavender Brown	people	people	mutual understanding and trust	2
Hermione Granger	Cho Chang	people	people	mutual understanding and trust	2
Hermione Granger	Dean Thomas	people	people	mutual understanding and trust	2
Hermione Granger	Fred Weasley	people	people	mutual understanding and trust	4
Hermione Granger	George Weasley	people	people	mutual understanding and trust	4
Hermione Granger	Parvati Patil	people	people	mutual understanding and trust	2
Hermione Granger	Padma Patil	people	people	mutual understanding and trust	2
Hermione Granger	Hannah Abbot	people	people	mutual understanding and trust	2
Hermione Granger	Seamus Finnigan	people	people	mutual understanding and trust	2
Hermione Granger	Colin Creevey	people	people	mutual understanding and trust	2
