name	node_class
Harry Potter	people
Hermione Granger	people
Ronald Weasley	people
Ginny Weasley	people
Neville Longbottom	people
Luna Lovegood	people
Lavender Brown	people
Cho Chang	people
Dean Thomas	people
Fred Weasley	people
George Weasley	people
Parvati Patil	people
Padma Patil	people
Hannah Abbot	people
Seamus Finnigan	people
Colin Creevey	people
Angelina Johnson	people
Alicia Spinnet	people
Zacharias Smith	people
Susan Bones	people
Michael Corner	people
Terry Boot	people
Anthony Goldstein	people
Marietta Edgecombe	people
Katie Bell	people
Justin Finch-Fletchley	people
Lee Jordan	people
Dennis Creevey	people
Ernie McMillian	people
